"Organization","Time Zone","Task ID","Task","Date","Project","Time","Activity","Manual hours","Earned","Currency","Notes"
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-01-18","SFTP - RepuGen","0:00:02","-","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-01-23","SFTP - RepuGen","7:28:00","-","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-01-24","SFTP - RepuGen","7:49:27","-","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-01-25","SFTP - RepuGen","5:01:39","-","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-01-30","SFTP - RepuGen","6:18:18","45%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-01-31","SFTP - RepuGen","8:33:44","48%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-01","SFTP - RepuGen","8:13:48","38%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-02","SFTP - RepuGen","6:17:49","34%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-03","SFTP - RepuGen","3:53:29","43%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-04","SFTP - RepuGen","3:34:52","40%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-05","SFTP - RepuGen","9:14:45","41%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-06","SFTP - RepuGen","8:25:57","39%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-07","SFTP - RepuGen","9:15:58","32%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-08","SFTP - RepuGen","8:38:32","19%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-09","SFTP - RepuGen","2:21:48","32%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-11","SFTP - RepuGen","2:05:01","35%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-12","SFTP - RepuGen","1:27:59","30%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-13","SFTP - RepuGen","7:33:57","50%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-14","SFTP - RepuGen","0:55:30","47%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-15","SFTP - RepuGen","2:06:53","57%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-20","SFTP - RepuGen","0:13:00","42%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-21","SFTP - RepuGen","1:25:21","58%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-22","SFTP - RepuGen","11:32:19","48%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-23","SFTP - RepuGen","9:42:41","42%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-24","SFTP - RepuGen","3:18:11","31%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-27","SFTP - RepuGen","3:23:19","37%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-28","SFTP - RepuGen","9:10:37","48%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-02-29","SFTP - RepuGen","9:55:23","43%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-03-01","SFTP - RepuGen","6:21:33","40%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-03-02","SFTP - RepuGen","2:40:19","28%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10309272","SFTP Setup - European Denture","2024-03-04","SFTP - RepuGen","1:00:00","41%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-02-15","SFTP - RepuGen","3:33:34","43%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-02-16","SFTP - RepuGen","2:21:19","36%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-02-18","SFTP - RepuGen","1:36:22","47%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-02-19","SFTP - RepuGen","9:23:37","44%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-02-20","SFTP - RepuGen","4:41:09","34%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-02-21","SFTP - RepuGen","2:00:43","38%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-03-04","SFTP - RepuGen","2:02:51","43%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-03-05","SFTP - RepuGen","8:24:13","49%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-03-06","SFTP - RepuGen","5:35:44","35%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles","10527242","SFTP Setup - Far North Surgery","2024-03-07","SFTP - RepuGen","1:09:31","23%","0:00:00",0.0,"USD",
"RepuGen","America/Los_Angeles",,,"2024-02-15","SFTP - RepuGen","2:29:35","56%","0:00:00",0.0,"USD",
